song_id;song_name;artists;danceability;energy;loudness;speechiness;acousticness;instrumentalness;valence;tempo;artist;artist_gender;artist_popularity;popularity;artist_region;artist_category
4vb4mFvYsr2h6enhjJsq9Y;Water Under the Bridge;{'4dpARuHxo51G3z768sgnrY': 'Adele'};596;838;-652;704;189;154;472;94982;Adele;F;85;65;Europe;Solo
1Hck0Y3AgGLIvv9pRuq3ti;A New Day Has Come;{'4S9EykWXhStSc15wEx8QFK': 'Céline Dion'};436;333;-9869;354;722;961;609;119483;Céline Dion;F;78;53;North America;Solo
687YZan9Gol1UVvbpUSO6Y;I Wish;{'7guDJrEfX3qb6FEbdPA5qi': 'Stevie Wonder'};821;721;-10401;515;816;737;885;105866;Stevie Wonder;M;81;63;North America;Solo
2OLaaNPo0OJpzz5RegHlZI;Shake And Dance With Me;{'2hUkfSXyuDfQbUeNOShRiz': 'Con Funk Shun'};804;635;-13819;465;209;294;74;116072;Con Funk Shun;M;46;4;North America;Band
61S94VkRPmJsSbSwYCQaHp;Sunday;{'6avGAzQTmqu8mfSmZrN7gT': 'The Moments'};338;44;-776;336;349;853;361;122479;The Moments;M;40;8;North America;Band
0J69JelSTDRDg5MOp0oGRr;Do the Choo Choo;{'1kupwLFpHALpmhp5qol8xH': 'Archie Bell & The Drells'};49;743;-7164;148;576;158;713;125676;Archie Bell & The Drells;M;44;0;North America;Band
70C4NyhjD5OZUMzvWZ3njJ;Piano Man;{'6zFYqv1mOsgBRQbae3JJ9e': 'Billy Joel'};331;55;-6483;272;605;396;429;177734;Billy Joel;M;80;71;North America;Solo
24tygl4LPQcQgeBe7qzY3n;God Made Girls;{'5dMnvpYEfXvSexjwnSRH5n': 'RaeLynn'};488;917;-2939;291;897;325;772;156053;RaeLynn;F;61;53;North America;Solo
5pihM63Tj50g1XjLxq0iU8;Long Haired Country Boy;{'12d4iIvTOk7JkI6ecvc3ca': 'The Charlie Daniels Band'};588;58;-11648;275;319;374;774;14537;The Charlie Daniels Band;M;63;59;North America;Band
2WrL3s7u4m40yap7ui9RK9;My Paradise;{'1zxDewzd2j1ZdSBGaYcr0y': 'The Outfield'};605;823;-10363;4;131;25;708;122116;The Outfield;M;67;37;Europe;Band
43raN5DVWdhYxSZ16aF5Ap;Sitting At The Wheel;{'5BcZ22XONcRoLhTbZRuME1': 'The Moody Blues'};481;905;-7319;155;598;0;507;141427;The Moody Blues;M;64;15;Europe;Band
0eeYMu1A61fdRREKd8LjAl;Because Of You;{'6V03b3Y36lolYP2orXn8mV': '98º'};732;65;-6134;254;282;0;539;10449;98º;M;62;39;North America;Band
5yZ0CBNf1dFHVpFFfxrLbj;Back to the World;{'5VfqJBmXcf6ZqXoGij5qTE': 'Tevin Campbell'};73;654;-9307;634;383;264;203;95104;Tevin Campbell;M;58;33;North America;Solo
48KGd4vzZCPOAvqWpKqN8E;Two Fine People;{'08F3Y3SctIlsOEmKd6dnH8': 'Yusuf / Cat Stevens'};445;798;-12435;951;824;0;632;157636;Yusuf / Cat Stevens;M;74;15;Europe;Solo
48z9CEN9Cgdy1w22i8kbnH;Sweet On U;{'2JqijdV9jIJWxfgZJ5ZsEk': 'Lo-Key?'};723;699;-8369;7;505;0;66;90206;Lo-Key?;M;9;2;North America;Band
4uYwlMp841PLJmj1gJJwIq;Lay, Lady, Lay;{'74ASZWbe4lXaubB36ztrGX': 'Bob Dylan'};52;179;-21976;454;356;344;407;155746;Bob Dylan;M;78;59;North America;Solo
4IedAOUPWCWH7opObCmtkV;Anyway That You Want Me;{'14Qw6EvhlsP3nA5AGl6Buy': 'American Breed'};635;54;-11125;271;483;124;767;105444;American Breed;M;24;3;North America;Band
7yq4Qj7cqayVTp3FF9CWbm;Riptide;{'10exVja0key0uqUkk6LJRT': 'Vance Joy'};484;731;-6694;379;431;0;51;101654;Vance Joy;M;79;76;Australia;Solo
46Mfd6s7XqD2T9cts2nZ8F;Get Into Something;{'53QzNeFpzAaXYnrDBbDrIp': 'The Isley Brothers'};577;84;-8153;886;279;851;813;114684;The Isley Brothers;M;69;20;North America;Band
7GonnnalI2s19OCQO1J7Tf;Kickstart My Heart;{'0cc6vw3VN8YlIcvr1v7tBL': 'Mötley Crüe'};474;977;-3839;176;111;298;236;89494;Mötley Crüe;M;77;74;North America;Band
